ZONAS,ESPACIO,OBJETO,Tipo,Variante,L,A,H,m3
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mueble bar,Compacto,0.90,0.45,1.20,0.49
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Carrito bar,Rodante,0.70,0.45,0.90,0.28
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Banco decorativo,Tapizado,1.20,0.45,0.45,0.24
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Baúl decorativo,Mediano,0.90,0.50,0.50,0.23
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Revistero,De piso,0.50,0.30,0.60,0.09
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Zapatero,Compacto,0.80,0.35,0.90,0.25
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Perchero,De pie,0.50,0.50,1.80,0.45
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Biombo,Plegable,1.50,0.20,1.80,0.54
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Estantería baja,Abierta,1.00,0.35,1.00,0.35
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Estantería alta,Abierta,0.90,0.35,1.80,0.57
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mueble organizador,Multiuso,0.80,0.40,1.20,0.38
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Mueble recibidor,Con espejo,1.00,0.35,1.80,0.63
ZONAS SOCIALES,SALA / ESTAR,MUEBLES AUXILIARES,Archivador decorativo,2 gavetas,0.50,0.50,0.70,0.18

ZONAS SOCIALES,TERRAZA Y BALCON,MUEBLES,Mesa exterior,,1.20,0.80,0.75,0.72
ZONAS SOCIALES,TERRAZA Y BALCON,MUEBLES,Sofá exterior 2p,,1.60,0.80,0.80,1.02
ZONAS SOCIALES,TERRAZA Y BALCON,MUEBLES,Poltrona,,0.80,0.80,0.80,0.51
ZONAS SOCIALES,TERRAZA Y BALCON,TECNOLOGIA,Parlante exterior,,0.40,0.30,0.30,0.04
ZONAS SOCIALES,TERRAZA Y BALCON,TECNOLOGIA,Proyector portátil,,0.40,0.30,0.20,0.02
ZONAS SOCIALES,TERRAZA Y BALCON,TECNOLOGIA,Lámpara solar recargable,,0.30,0.30,0.40,0.04

ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Nevera estándar,,0.70,0.70,1.80,0.88
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Nevera side by side,,0.90,0.75,1.80,1.21
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Estufa,,0.60,0.60,0.90,0.32
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Horno empotrado,,0.60,0.60,0.60,0.22
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Microondas,,0.50,0.40,0.30,0.06
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Lavavajillas,,0.60,0.60,0.85,0.31
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Campana extractora,,0.60,0.50,0.50,0.15
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Cafetera,,0.30,0.25,0.35,0.03
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Licuadora,,0.25,0.25,0.40,0.03
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Procesador alimentos,,0.30,0.25,0.40,0.03
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Freidora aire,,0.35,0.30,0.35,0.04
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Hervidor eléctrico,,0.25,0.20,0.25,0.01
ZONAS DE SERVICIO,COCINA,ELECTRODOMESTICOS,Tostadora,,0.30,0.20,0.20,0.01
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Isla cocina,,1.80,0.90,0.90,1.46
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Alacena,,1.20,0.50,2.00,1.20
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Gabinete alto,,0.60,0.40,0.90,0.22
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Gabinete bajo,,0.60,0.60,0.90,0.32
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Despensa,,0.80,0.50,2.00,0.80
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Mueble auxiliar,,0.80,0.45,0.90,0.32
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Barra desayuno,,1.40,0.50,1.10,0.77
ZONAS DE SERVICIO,COCINA,MOBILIARIO,Carrito cocina,,0.60,0.40,0.90,0.22

